N,n_x,n_trunc,W_obs,W_total,pg,status,H_min_bits,runtime_sec,num_constraints,num_blocks,num_words_per_block,num_loc_words_per_block,num_moment_variables_per_block,q_values
0.01,3,0,0.4302266473026396,0.43021664729404724,0.43989578385754713,optimal,1.184766320956801,3.943479153000226,35,3,65,8,684,"[0.9999996438723499, 1.780615429493176e-07, 1.7806159669424407e-07]"
0.12,3,0,0.6696045570885568,0.6695945567687677,0.6747704398463426,optimal,0.5675313210561844,3.835300271000051,35,3,65,8,684,"[0.999999585192662, 2.0735810204144931e-07, 2.073578650226953e-07]"
0.23,3,0,0.782756463886159,0.7827464638837589,0.7867518735547793,optimal,0.34601938575518476,3.440391400000408,35,3,65,8,684,"[0.9999999982442863, 8.776034315245784e-10, 8.775581947764196e-10]"
0.34,3,0,0.8564444481481263,0.8564344480369521,0.8596273172353386,optimal,0.21821676543279353,3.5946529709999595,35,3,65,8,684,"[0.9999999446165945, 2.767977870014033e-08, 2.7680024957807888e-08]"
0.45,3,0,0.9073185275157648,0.9073085275008465,0.9098691616212663,optimal,0.1362689929290595,3.608422502999929,35,3,65,8,684,"[0.9999999962876902, 1.8543816159576247e-09, 1.8545325471322823e-09]"
0.56,3,0,0.9428629443349964,0.9428529443266908,0.9448706577914119,optimal,0.08181124082787755,3.7414065410002877,35,3,65,8,684,"[0.9999999983591, 8.194868446537743e-10, 8.196845796694041e-10]"
0.67,3,0,0.9673721651081822,0.9673621616763166,0.9689139954028251,optimal,0.045559482820295295,3.7938770060000024,35,3,65,8,684,"[0.9999995322236157, 2.335419907000052e-07, 2.3354202242007483e-07]"
0.78,3,0,0.9836352227222496,0.9836252227156993,0.9847205832679589,optimal,0.022213680288285704,3.7135307299995475,35,3,65,8,684,"[0.9999999994072813, 2.956757998649872e-10, 2.956717012117179e-10]"
0.89,3,0,0.9935990060974568,0.9935890060665312,0.9942779390125911,optimal,0.008278897843205887,3.7086793280004713,35,3,65,8,684,"[0.9999999985077851, 7.428998777386472e-10, 7.428598106819449e-10]"
1.0,3,0,0.9986894083169592,0.9986794064478921,0.9989896541981457,optimal,0.0014583577248408464,3.8115790259998903,35,3,65,8,684,"[0.9999999550702885, 2.226632460679005e-08, 2.2266329653861387e-08]"
0.01,3,1,0.421150347386002,0.42114034206479173,0.43254943033094545,optimal,1.2090630862571505,15.320992216000377,44,3,96,9,1684,"[0.997081971566716, 0.001459017547888142, 0.0014590060391909284]"
0.12,3,1,0.6234906849302255,0.6234806854149685,0.6322878764248158,optimal,0.6613465375444856,17.488190007999947,44,3,96,9,1684,"[0.9997937133244587, 0.0001031429386176538, 0.00010314297646011415]"
0.23,3,1,0.7326340637395223,0.732624063799153,0.7389745020576547,optimal,0.436403509121625,14.37122640600046,44,3,96,9,1684,"[0.9999439096747862, 2.804494907467086e-05, 2.8044904943631885e-05]"
0.34,3,1,0.8104834618989492,0.8104734620971291,0.8158022615280371,optimal,0.2937085883811459,31.49150963699958,44,3,96,9,1684,"[0.9999865176216206, 6.741110499347297e-06, 6.7411075769256944e-06]"
0.45,3,1,0.8680471384231299,0.8680371384731587,0.8723780723219186,optimal,0.1969745873456584,40.71222451699941,44,3,96,9,1684,"[0.999990832822171, 4.583498471413013e-06, 4.583497673779395e-06]"
0.56,3,1,0.9116542527360604,0.9116442528018239,0.9151780524640899,optimal,0.12787564065227489,37.36133541500021,44,3,96,9,1684,"[0.9999969654331862, 1.5172422832394776e-06, 1.5172419849532345e-06]"
0.67,3,1,0.9443952713026807,0.944385270816939,0.9468838014177766,optimal,0.07874070129927987,13.543139909000274,44,3,96,9,1684,"[0.9999968807089126, 1.559525708562172e-06, 1.5595257240819945e-06]"
0.78,3,1,0.9681874492152408,0.9681774488532285,0.9699319514385067,optimal,0.04404456074837146,12.914460525000322,44,3,96,9,1684,"[0.9999990240034609, 4.879301062040917e-07, 4.879300559943769e-07]"
0.89,3,1,0.9844671714271956,0.9844571701124738,0.9856311302537897,optimal,0.02088027193742864,11.634512135000477,44,3,96,9,1684,"[0.999999666193745, 1.667658911683665e-07, 1.6676580787350573e-07]"
1.0,3,1,0.9942974527445448,0.9942874509106845,0.994973642098976,optimal,0.007269787237880914,10.12785701499979,44,3,96,9,1684,"[0.999999945054444, 2.7294326705407213e-08, 2.7294329933585896e-08]"
0.01,3,2,0.4211305046878294,0.42112050447853694,0.4321628071774939,optimal,1.2103531786581856,57.93780877200061,53,3,127,10,3197,"[0.9986360200671762, 0.0006819570708997637, 0.0006820216631229265]"
0.12,3,2,0.6209513620677024,0.6209413540448024,0.6301505723012831,optimal,0.6662314980889025,38.19497548700019,53,3,127,10,3197,"[0.9995800676870763, 0.00020996504499876413, 0.00020996451301522336]"
0.23,3,2,0.7291271317246445,0.7291171313830158,0.7361319437318676,optimal,0.441963717861707,43.011816646000625,53,3,127,10,3197,"[0.9999777905120197, 1.1104648872345863e-05, 1.1104665664614353e-05]"
0.34,3,2,0.808550561108677,0.8085405603576343,0.813260020954012,optimal,0.2982114006869407,49.06830666699989,53,3,127,10,3197,"[0.9999895514128542, 5.224125790041681e-06, 5.224127268379288e-06]"
0.45,3,2,0.8673202721886274,0.8673102720850308,0.8712887377911206,optimal,0.19877719977229547,111.0597358670002,53,3,127,10,3197,"[0.9999968821741131, 1.558876552853761e-06, 1.5588765600487407e-06]"
0.56,3,2,0.9114482200666464,0.9114382199587745,0.9148857374062608,optimal,0.12833652238790405,68.89545516899943,53,3,127,10,3197,"[0.9999974613138707, 1.2693015663046939e-06, 1.269300996577257e-06]"
0.67,3,2,0.944361489037958,0.9443514886659236,0.9468316682368954,optimal,0.07882013486017894,41.65905779399964,53,3,127,10,3197,"[0.999997641309237, 1.1792635097795843e-06, 1.1792632426062509e-06]"
0.78,3,2,0.9681837750375896,0.9681737744937549,0.9699591662833235,optimal,0.044004081443837786,37.4364595549996,53,3,127,10,3197,"[0.9999985949454271, 7.024333480662055e-07, 7.02434014758706e-07]"
0.89,3,2,0.984467110118848,0.9844571069621066,0.9856316322241179,optimal,0.020879537190020083,37.691851358999884,53,3,127,10,3197,"[0.999999173044547, 4.131856381370612e-07, 4.1318486531336917e-07]"
1.0,3,2,0.9942973506254366,0.9942873463774439,0.9949770709854567,optimal,0.007264815418740845,28.27895881799941,53,3,127,10,3197,"[0.9999997233004185, 1.3794965588437387e-07, 1.3794966695643434e-07]"
