N,n_x,n_trunc,status,value,runtime_sec,num_constraints,num_words,num_loc_words,num_moment_variables
0.01,2,0,optimal,0.599252964831241,0.3738923689998046,8,26,6,108
0.12,2,0,optimal,0.8166900214331375,0.33018532400092226,8,26,6,108
0.23,2,0,optimal,0.9040419053352574,0.3720168180007022,8,26,6,108
0.34,2,0,optimal,0.9529385158916315,0.3375963890030107,8,26,6,108
0.45,2,0,optimal,0.9806853438857126,0.46144482599993353,8,26,6,108
0.56,2,0,optimal,0.9949032566900049,0.31078180899930885,8,26,6,108
0.67,2,0,optimal,0.9998628819379094,0.3092913670006965,8,26,6,108
0.78,2,0,optimal,0.9999999734745738,0.3784253350022482,8,26,6,108
0.89,2,0,optimal,0.9999999393612924,0.29660124799920595,8,26,6,108
1.0,2,0,optimal,0.9999999602237484,0.43010039599903394,8,26,6,108
0.01,2,1,optimal,0.5992529835074123,0.7363272789989423,12,35,7,187
0.12,2,1,optimal,0.8166900092543568,0.6341630080023606,12,35,7,187
0.23,2,1,optimal,0.9040420019538901,0.6213264140023966,12,35,7,187
0.34,2,1,optimal,0.9529385337718019,0.5083325329978834,12,35,7,187
0.45,2,1,optimal,0.9806854226771282,0.5902024170027289,12,35,7,187
0.56,2,1,optimal,0.9949032661919339,0.6174555850011529,12,35,7,187
0.67,2,1,optimal,0.9998628715941642,0.7664920019997226,12,35,7,187
0.78,2,1,optimal,0.9999999653497439,0.6899889070009522,12,35,7,187
0.89,2,1,optimal,0.999999972216735,0.8362078130012378,12,35,7,187
1.0,2,1,optimal,0.9999999830007577,0.7436378539969155,12,35,7,187
0.01,2,2,optimal,0.5992530088502767,0.9813944269990316,16,44,8,292
0.12,2,2,optimal,0.8166900028317592,1.1303915270000289,16,44,8,292
0.23,2,2,optimal,0.9040420208770202,0.9184766789985588,16,44,8,292
0.34,2,2,optimal,0.9529385365262341,0.908764889001759,16,44,8,292
0.45,2,2,optimal,0.9806854060450053,0.9672355200018501,16,44,8,292
0.56,2,2,optimal,0.9949032197002197,0.8459246909987996,16,44,8,292
0.67,2,2,optimal,0.9998628747486762,0.9994500049979251,16,44,8,292
0.78,2,2,optimal,0.999999966929247,1.1467127989999426,16,44,8,292
0.89,2,2,optimal,0.9999999805183459,0.7623499190012808,16,44,8,292
1.0,2,2,optimal,0.9999999787676455,0.8724985949993425,16,44,8,292
