N,n_x,n_trunc,W_obs,W_total,pg,status,H_min_bits,runtime_sec,num_constraints,num_blocks,num_words_per_block,num_loc_words_per_block,num_moment_variables_per_block,q_values
0.01,4,0,0.3409306716088051,0.3409206715688634,0.3518164312400583,optimal,1.5071052308524358,30.571688866999466,54,4,106,10,1871,"[0.9999950368491033, 1.6543874694871983e-06, 1.6543643345344613e-06, 1.6543646630364258e-06]"
0.12,4,0,0.5808013582050486,0.5807913581448285,0.5871184693520005,optimal,0.7682764537296262,28.91325626897742,54,4,106,10,1871,"[0.9999996894403219, 1.0351180408070657e-07, 1.0351179133737897e-07, 1.0351181858815643e-07]"
0.23,4,0,0.7026438459221891,0.7026338457474949,0.7078113482928863,optimal,0.4985632023038993,29.25599196998519,54,4,106,10,1871,"[0.9999995142299177, 1.619056303596041e-07, 1.6190526372089557e-07, 1.619054194416498e-07]"
0.34,4,0,0.7863711246154178,0.7863611246153472,0.7907412407844554,optimal,0.3387224251081063,28.016979167005047,54,4,106,10,1871,"[0.9999999998930249, 3.565180013500623e-11, 3.5653459876526344e-11, 3.5647930557354886e-11]"
0.45,4,0,0.8474717261421147,0.8474617259655454,0.851187338675175,optimal,0.23245140383020413,30.20678357698489,54,4,106,10,1871,"[0.9999998069123197, 6.434809647036738e-08, 6.434788584982695e-08, 6.434755988531181e-08]"
0.56,4,0,0.8929942869574147,0.8929842869571337,0.8961387788784747,optimal,0.15820592499740085,27.86947900801897,54,4,106,10,1871,"[0.9999999997255306, 9.148955673785505e-11, 9.145796348505868e-11, 9.145845043369753e-11]"
0.67,4,0,0.9270396725893598,0.9270296724036249,0.9296664888870936,optimal,0.10521484224062455,28.303066407999722,54,4,106,10,1871,"[0.9999999030353086, 3.230845406624442e-08, 3.230497666134647e-08, 3.2306689406207127e-08]"
0.78,4,0,0.9523088175206712,0.9522988157256811,0.9544598142707952,optimal,0.06724363793148727,27.73449185001664,54,4,106,10,1871,"[0.9999992921586822, 2.3580809341149574e-07, 2.358086818290341e-07, 2.3580981643118653e-07]"
0.89,4,0,0.970715780774098,0.9707057800946314,0.972422717151368,optimal,0.04034449775807511,28.242498876003083,54,4,106,10,1871,"[0.9999997957774001, 6.802235363446452e-08, 6.802168347429214e-08, 6.802173209046752e-08]"
1.0,4,0,0.9836822553085512,0.983672255303331,0.9849703397810889,optimal,0.02184781325743618,27.495431907998864,54,4,106,10,1871,"[0.9999999987948698, 4.0129043721975183e-10, 4.012794944296028e-10, 4.011781399604676e-10]"
0.01,4,1,0.3281710162831508,0.3281610141704916,0.3414937340624867,optimal,1.5500689875869622,121.89771375400596,66,4,155,11,4584,"[0.9938449835017271, 0.0020515489190926616, 0.0020518676103231212, 0.002051596561895191]"
0.12,4,1,0.5049736357560002,0.5049636353441751,0.5174337647832691,optimal,0.9505538957236161,119.79042111700983,66,4,155,11,4584,"[0.9991384709945698, 0.00028717597263164057, 0.00028717627918812443, 0.0002871756349638056]"
0.23,4,1,0.6099364256351094,0.6099264259299826,0.6203168639714965,optimal,0.6889227482505759,176.71528116299305,66,4,155,11,4584,"[0.999802187440794, 6.593808663800901e-05, 6.593755003078629e-05, 6.59365687913483e-05]"
0.34,4,1,0.6914174556674901,0.6914074555986779,0.6991532821894207,optimal,0.5163193085119968,118.18679344598786,66,4,155,11,4584,"[0.9999256685307517, 2.4777039607607887e-05, 2.4777030629646477e-05, 2.4777027205507422e-05]"
0.45,4,1,0.7565655564038933,0.7565555565786506,0.7633435552378329,optimal,0.38959558319519366,197.14354416899732,66,4,155,11,4584,"[0.9999593052493233, 1.3564845970065871e-05, 1.3564849140580283e-05, 1.3564848166966696e-05]"
0.56,4,1,0.8105070860099063,0.8104970861793763,0.8165616079057526,optimal,0.2923663565993955,122.75930982100544,66,4,155,11,4584,"[0.9999656047771047, 1.1465001594651177e-05, 1.146500315124756e-05, 1.1465006804209834e-05]"
0.67,4,1,0.8548314929974408,0.8548214931166456,0.8601632565976886,optimal,0.21731758957141462,194.37724289900507,66,4,155,11,4584,"[0.9999777282232445, 7.423867065695885e-06, 7.423868120436645e-06, 7.423866179324152e-06]"
0.78,4,1,0.8908070110546333,0.8907970110478347,0.8954519899220755,optimal,0.15931201137306542,284.0886211509933,66,4,155,11,4584,"[0.9999873623635895, 4.212495583222622e-06, 4.21249615026227e-06, 4.212495269846866e-06]"
0.89,4,1,0.9196920204378936,0.9196820204537618,0.9239736528819806,optimal,0.1140763811231324,287.63763337701675,66,4,155,11,4584,"[0.9999957875508722, 1.404129600653857e-06, 1.4041291559906847e-06, 1.4041286904146308e-06]"
1.0,4,1,0.9426391694864332,0.9426291689690507,0.9455726952077604,optimal,0.08073971869627064,176.74042324902257,66,4,155,11,4584,"[0.999992461866187, 2.51263404548597e-06, 2.512633999552853e-06, 2.512632697523522e-06]"
0.01,4,2,0.3280991162838512,0.3280891179295661,0.342795469808398,optimal,1.54458005115499,376.7640380699886,78,4,204,12,8669,"[0.9845969050277398, 0.005134758588949257, 0.005134574695489109, 0.005133757395097316]"
0.12,4,2,0.5008558239945122,0.5008458195794045,0.5136490321040835,optimal,0.9611451685233048,344.80634496198036,78,4,204,12,8669,"[0.9974756266750735, 0.0008414562070545949, 0.0008414566402685797, 0.0008414561637363321]"
0.23,4,2,0.5970679695927575,0.5970579640982163,0.6084054164464384,optimal,0.7168950978972213,374.21432829499827,78,4,204,12,8669,"[0.9990599433585964, 0.00031335061333555444, 0.00031335114176431216, 0.0003133517030712463]"
0.34,4,2,0.6715984844165308,0.6715884820400715,0.6809946885613763,optimal,0.5542845489496419,376.9008154240146,78,4,204,12,8669,"[0.9996884226439573, 0.00010385843581838969, 0.00010385848570453899, 0.00010385928813477623]"
0.45,4,2,0.7329932299932819,0.7329832291499535,0.7424979213441576,optimal,0.42954110785702054,381.5600762440008,78,4,204,12,8669,"[0.9998245847887612, 5.847152325697286e-05, 5.8471436986733755e-05, 5.8471463271331456e-05]"
0.56,4,2,0.7873440180556824,0.7873340175437921,0.7940110191318962,optimal,0.3327690659364698,407.22040932500386,78,4,204,12,8669,"[0.9999188242930446, 2.7058434650485333e-05, 2.7058315156992806e-05, 2.7058316824170446e-05]"
0.67,4,2,0.8334194819714158,0.833409481468483,0.8406070484548763,optimal,0.2504965414092958,705.7472189109831,78,4,204,12,8669,"[0.9999511126677154, 1.629558386764033e-05, 1.629558942230065e-05, 1.629558702359617e-05]"
0.78,4,2,0.8727951003413574,0.8727851003573804,0.878613676997525,optimal,0.18669913747475622,836.9087104469945,78,4,204,12,8669,"[0.9999787212627705, 7.092845819329096e-06, 7.092852613837497e-06, 7.092861028278729e-06]"
0.89,4,2,0.9056763981748588,0.9056663969553972,0.9102030967402683,optimal,0.1357396001608818,387.18510648899246,78,4,204,12,8669,"[0.9999555050175015, 1.4831401780222208e-05, 1.4831400779127476e-05, 1.4831402503085916e-05]"
1.0,4,2,0.9317570106807022,0.9317470043995649,0.9354387387749468,optimal,0.09628491941118367,403.92655397800263,78,4,204,12,8669,"[0.9999214750531764, 2.6173933757378356e-05, 2.6173931414548545e-05, 2.6173933935048057e-05]"
