N,n_x,n_trunc,W_obs,statuses,failed_node,H_shannon_bits,runtime_sec,c_m,m_eff,num_constraints,num_words,num_base_words,num_moment_variables,node_values
0.01,2,0,0.599252964831241,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.9667112307557925,41.99943455599714,7.492940515158995,8,"[28, 28, 28, 28, 28, 28, 28, 28]",102,34,1092,"[-3.4410110290403537, -1.3996493607923057, -0.7475749778506895, -0.4362258824511144, -0.2615945147528447, -0.15240739879112464, -0.07598625776609105, -0.011779862958679771]"
0.12,2,0,0.8166900214331375,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.6798415550341724,40.25505513799726,7.492940515158995,8,"[28, 28, 28, 28, 28, 28, 28, 28]",102,34,1092,"[-3.4453815043068716, -1.4298724557755593, -0.8038169214861977, -0.5010767043367109, -0.3200372764577985, -0.19603097220055088, -0.10100240743295952, -0.015880718128175316]"
0.23,2,0,0.9040419053352574,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.44827405225184724,39.83988006101572,7.492940515158995,8,"[28, 28, 28, 28, 28, 28, 28, 28]",102,34,1092,"[-3.452613355340237, -1.4644474460189716, -0.8528363746543877, -0.5500543537394633, -0.3614801171447912, -0.2262765661494321, -0.11825139424401825, -0.01870685561584702]"
0.34,2,0,0.9529385158916316,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.26615912505715605,39.77563166897744,7.492940515158995,8,"[28, 28, 28, 28, 28, 28, 28, 28]",102,34,1092,"[-3.464715171284272, -1.499794679606363, -0.891552918485484, -0.5846359701269576, -0.38945420107003514, -0.24637856817835507, -0.12967236712547722, -0.020577514224895573]"
0.45,2,0,0.9806853438857126,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.12959765727063527,39.986551637004595,7.492940515158995,8,"[28, 28, 28, 28, 28, 28, 28, 28]",102,34,1092,"[-3.4838089715839384, -1.530271627744148, -0.9184336199489082, -0.6068014123888996, -0.40685494268914796, -0.25875740143085363, -0.1366885102722659, -0.021726371830198474]"
0.56,2,0,0.9949032566900048,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.03842652746886101,40.9120400880056,7.492940515158995,8,"[28, 28, 28, 28, 28, 28, 28, 28]",102,34,1092,"[-3.5073325774498105, -1.5504846916807462, -0.9337379117276124, -0.618809324320709, -0.4161149031567474, -0.26530624370920514, -0.14039503011983007, -0.022333305525473513]"
0.67,2,0,0.9998628819379094,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.0006518621184243775,40.392703099001665,7.492940515158995,8,"[28, 28, 28, 28, 28, 28, 28, 28]",102,34,1092,"[-3.5211162219213095, -1.5581638195871155, -0.9391088471308529, -0.6229238800614092, -0.4192614062966271, -0.2675253916944864, -0.14165030845848467, -0.022538777890285834]"
0.78,2,0,0.9999999734745738,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.0,40.8107402260066,7.492940515158995,8,"[28, 28, 28, 28, 28, 28, 28, 28]",102,34,1092,"[-3.5213787161170216, -1.558290774427919, -0.9391958062294472, -0.6229899468428546, -0.41931186312728386, -0.2675610339174806, -0.14167038218105044, -0.02254205925541606]"
0.89,2,0,0.9999999393612924,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.0,39.836604578013066,7.492940515158995,8,"[28, 28, 28, 28, 28, 28, 28, 28]",102,34,1092,"[-3.5213787248206807, -1.558290711288236, -0.9391957953983805, -0.6229899689165173, -0.41931184758261514, -0.2675610393787906, -0.1416704156373186, -0.022542078370275033]"
1.0,2,0,0.9999999602237484,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.0,40.773568084987346,7.492940515158995,8,"[28, 28, 28, 28, 28, 28, 28, 28]",102,34,1092,"[-3.5213786756120142, -1.5582907398693824, -0.9391958748944051, -0.6229899389114341, -0.4193118403557894, -0.26756100765422747, -0.1416703873424757, -0.022542052832305516]"
0.01,2,1,0.5992529835074123,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.9667116778485522,134.78035909699975,7.492940515158995,8,"[37, 37, 37, 37, 37, 37, 37, 37]",153,51,2682,"[-3.4410114763804875, -1.399648727879121, -0.7475748244069322, -0.4362276808159146, -0.2615936308081734, -0.1524066807146965, -0.0759860284053011, -0.011779787899816862]"
0.12,2,1,0.8166900092543568,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.6798360051264807,133.93553446399164,7.492940515158995,8,"[37, 37, 37, 37, 37, 37, 37, 37]",153,51,2682,"[-3.4453820782053795, -1.429873100605937, -0.8038176795754594, -0.5010776973738155, -0.3200386293041691, -0.1960318060193474, -0.10100273229741807, -0.01588078665098871]"
0.23,2,1,0.90404200195389,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.44830681972575764,135.34412656500353,7.492940515158995,8,"[37, 37, 37, 37, 37, 37, 37, 37]",153,51,2682,"[-3.45261227730539, -1.464441453744871, -0.8528294117095087, -0.5500473714937626, -0.3614746707772147, -0.2262729575088095, -0.11824905511057955, -0.018706497783102415]"
0.34,2,1,0.952938533771802,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.2661660942179925,147.42937783201342,7.492940515158995,8,"[37, 37, 37, 37, 37, 37, 37, 37]",153,51,2682,"[-3.464714781486986, -1.499792592710249, -0.8915513824055342, -0.5846347923832642, -0.3894533579937502, -0.24637802231241498, -0.12967205337866872, -0.020577438270135404]"
0.45,2,1,0.9806854226771282,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.12961821620135344,150.12825285401777,7.492940515158995,8,"[37, 37, 37, 37, 37, 37, 37, 37]",153,51,2682,"[-3.483804791681626, -1.5302668289294084, -0.9184297782844335, -0.6067985148088357, -0.40685273166829694, -0.25875582017398163, -0.13668755541332242, -0.021726277997737208]"
