N,n_x,n_trunc,W_obs,H_shannon_bits,statuses,failed_node,runtime_sec,c_m,m_eff,num_constraints,num_words,num_base_words,num_moment_variables,node_values
0.01,3,0,0.4302266473026396,1.5482966550042736,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,116.39277615700848,7.492940515158995,8,"[61, 61, 61, 61, 61, 61, 61, 61]",65,65,684,"[-3.364283359004787, -1.270457253795346, -0.620637299839964, -0.334883687071077, -0.18921174699572216, -0.1058058060113772, -0.05146646242314408, -0.007898245013304574]"
0.12,3,0,0.6696045570885568,1.23353754008557,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,108.39678094995907,7.492940515158995,8,"[61, 61, 61, 61, 61, 61, 61, 61]",65,65,684,"[-3.3713866365414944, -1.3137383394341067, -0.6903533666005284, -0.4057485150960442, -0.24708197093592238, -0.1460683326562983, -0.07356975637696309, -0.011456057432067986]"
0.23,3,0,0.782756463886159,0.9589224903989243,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,108.11830745497718,7.492940515158995,8,"[61, 61, 61, 61, 61, 61, 61, 61]",65,65,684,"[-3.380531624974749, -1.3575839973955923, -0.7510823893432333, -0.46418488902403043, -0.29454211113785733, -0.1794797246879197, -0.09214754722982219, -0.014465740966866961]"
0.34,3,0,0.8564444481481263,0.723227940991179,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,107.52228330000071,7.492940515158995,8,"[61, 61, 61, 61, 61, 61, 61, 61]",65,65,684,"[-3.3926397456157305, -1.401168994506706, -0.8027884114835683, -0.5111089594409508, -0.33211969909796657, -0.20601185649716472, -0.10699506879620196, -0.01687983872952789]"
0.45,3,0,0.9073185275157648,0.5239694927983282,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,106.20200696098618,7.492940515158995,8,"[61, 61, 61, 61, 61, 61, 61, 61]",65,65,684,"[-3.408574956336235, -1.442521995284861, -0.8453025927433973, -0.547772106314723, -0.36108434336420603, -0.22647194153814487, -0.11848974511168482, -0.018753341667415525]"
0.56,3,0,0.9428629443349964,0.3584907953156013,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,106.31692433799617,7.492940515158995,8,"[61, 61, 61, 61, 61, 61, 61, 61]",65,65,684,"[-3.4289295732410383, -1.4794477230696301, -0.8788112728530199, -0.575498017207034, -0.382738843577339, -0.24176253614164928, -0.12710223254184064, -0.020159521211842092]"
0.67,3,0,0.9673721651081822,0.22435728953993503,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,105.654687799979,7.492940515158995,8,"[61, 61, 61, 61, 61, 61, 61, 61]",65,65,684,"[-3.453388899503917, -1.510098571114128, -0.9039203173581373, -0.5956225543489095, -0.39831756983269767, -0.2527567864766547, -0.13330514933559712, -0.02117337764901914]"
0.78,3,0,0.9836352227222496,0.1208716148760442,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,106.40492402401287,7.492940515158995,8,"[61, 61, 61, 61, 61, 61, 61, 61]",65,65,684,"[-3.479612172386459, -1.5332239952045819, -0.9214412645606064, -0.6093457059232019, -0.40887276851215903, -0.2602016576502908, -0.13751018084021419, -0.02186115520543854]"
0.89,3,0,0.9935990060974568,0.04858756307752825,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,106.1770808249712,7.492940515158995,8,"[61, 61, 61, 61, 61, 61, 61, 61]",65,65,684,"[-3.502956217348897, -1.5485621014687951, -0.9324499386026501, -0.6178363769935742, -0.4153753977720064, -0.2647863185879886, -0.14010141902319262, -0.022285182284363228]"
1.0,3,0,0.9986894083169592,0.008938403007846742,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,109.74533686996438,7.492940515158995,8,"[61, 61, 61, 61, 61, 61, 61, 61]",65,65,684,"[-3.5178141442506976, -1.5565420181587848, -0.9379963474436662, -0.6220763265435264, -0.4186145883972935, -0.26706958685732235, -0.14139249628970804, -0.022496604210149866]"
0.01,3,1,0.421150347386002,1.552897295005917,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,602.9519474519766,7.492940515158995,8,"[74, 74, 74, 74, 74, 74, 74, 74]",96,96,1684,"[-3.364274970422723, -1.2698358762687496, -0.6195827045357745, -0.3338089908205393, -0.1883412151124882, -0.10521013173133817, -0.051143152320552096, -0.007846178940913188]"
0.12,3,1,0.6234906849302255,1.3146237154077554,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,1090.2908303839504,7.492940515158995,8,"[74, 74, 74, 74, 74, 74, 74, 74]",96,96,1684,"[-3.36926464617204, -1.3020221707263306, -0.6724408297239463, -0.38784663964810584, -0.23246724709536445, -0.1358275553049617, -0.06791416698342011, -0.0105335440970712]"
0.23,3,1,0.7326340637395223,1.0874252353068212,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,1049.5633089140174,7.492940515158995,8,"[74, 74, 74, 74, 74, 74, 74, 74]",96,96,1684,"[-3.375760749577918, -1.3362141269366308, -0.722699588609136, -0.4373282622395983, -0.2727113415135008, -0.16413822653666715, -0.08360480109988079, -0.013058183338842247]"
0.34,3,1,0.8104834618989492,0.8713247657350183,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,935.8362323290203,7.492940515158995,8,"[74, 74, 74, 74, 74, 74, 74, 74]",96,96,1684,"[-3.3844946199229584, -1.3731127436930752, -0.7703858820158815, -0.48197063927411454, -0.3088815995398219, -0.18961092618363842, -0.0977883107752137, -0.015371028019273562]"
0.45,3,1,0.8680471384231299,0.6756769079002772,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,737.7979118519579,7.492940515158995,8,"[74, 74, 74, 74, 74, 74, 74, 74]",96,96,1684,"[-3.3961271686356076, -1.410616200390661, -0.8130198986346295, -0.5200940006105235, -0.3392522757200737, -0.21101589773846444, -0.10980942075325736, -0.017328744775500997]"
0.56,3,1,0.9116542527360604,0.5000874259121558,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,530.114203782985,7.492940515158995,8,"[74, 74, 74, 74, 74, 74, 74, 74]",96,96,1684,"[-3.411482397135981, -1.4476172721302685, -0.8501643514367347, -0.5518640198866314, -0.36429013611751765, -0.2287265295868043, -0.1197541708436391, -0.018954212109263287]"
0.67,3,1,0.9443952713026807,0.347405837653441,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,506.7679831670248,7.492940515158995,8,"[74, 74, 74, 74, 74, 74, 74, 74]",96,96,1684,"[-3.4311621521377407, -1.48183099122298, -0.880849256942886, -0.577151743652063, -0.3840219749244751, -0.2426709757435445, -0.12760808696157314, -0.020239495920291825]"
0.78,3,1,0.9681874492152408,0.21743320840539335,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,493.3664433849626,7.492940515158995,8,"[74, 74, 74, 74, 74, 74, 74, 74]",96,96,1684,"[-3.455460557030754, -1.5115134608845593, -0.9050259033175279, -0.5964963695875221, -0.39899197936241565, -0.2532317722819806, -0.13357096334984617, -0.021216300938995965]"
0.89,3,1,0.9844671714271956,0.11402048842156902,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,519.8131909189979,7.492940515158995,8,"[74, 74, 74, 74, 74, 74, 74, 74]",96,96,1684,"[-3.4818663720331022, -1.5346420496831745, -0.9224784947431119, -0.6101500472733553, -0.40948975529803283, -0.26063646792692086, -0.13775574075726016, -0.021901099022468246]"
1.0,3,1,0.9942974527445448,0.04292473416115772,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,422.90315026202006,7.492940515158995,8,"[74, 74, 74, 74, 74, 74, 74, 74]",96,96,1684,"[-3.5049857133667617, -1.5497226983026333, -0.9332640406141826, -0.6184602924848875, -0.41585240548791386, -0.2651226163787593, -0.14029162020094466, -0.022316394161754575]"
0.01,3,2,0.4211305046878294,1.552801604568787,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,2436.775607556978,7.492940515158995,8,"[87, 87, 87, 87, 87, 87, 87, 87]",127,127,3197,"[-3.364277854206772, -1.2698502854483893, -0.6196068714686284, -0.33382940091353003, -0.18835632142995468, -0.1052218274416332, -0.05114944867437072, -0.007846901006929785]"
0.12,3,2,0.6209513620677024,1.3187694347433636,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,2205.2820657170378,7.492940515158995,8,"[87, 87, 87, 87, 87, 87, 87, 87]",127,127,3197,"[-3.3692038020808264, -1.3014334642895888, -0.6715221086346513, -0.3869318655909991, -0.23169282422871704, -0.13528388263618582, -0.0676103307472396, -0.010492802207423706]"
0.23,3,2,0.7291271317246445,1.0942135198423284,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,1949.5304412069963,7.492940515158995,8,"[87, 87, 87, 87, 87, 87, 87, 87]",127,127,3197,"[-3.3758168727542013, -1.335070468808012, -0.7211038730248029, -0.43578145996749934, -0.27156171720582944, -0.16327977697024434, -0.0831148985178951, -0.012997928068182283]"
0.34,3,2,0.808550561108677,0.8790092492332506,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,1754.6640415280126,7.492940515158995,8,"[87, 87, 87, 87, 87, 87, 87, 87]",127,127,3197,"[-3.3841830530575674, -1.371676987568818, -0.7686821413126483, -0.48044803397644326, -0.30762641573682326, -0.18871043085468583, -0.0973038866520176, -0.015300316766741286]"
