N,n_x,n_trunc,status,value,runtime_sec,num_constraints,num_words
0.01,4,0,optimal,0.34093027266884424,3.4066151638980955,118,106
0.12,4,0,optimal,0.5808013884864682,3.546395238954574,118,106
0.23,4,0,optimal,0.702643839483077,3.4990492560900748,118,106
0.34,4,0,optimal,0.7863710786793914,3.146649759961292,118,106
0.45,4,0,optimal,0.8474717161083006,3.2294594480190426,118,106
0.56,4,0,optimal,0.8929942901538287,3.1713459680322558,118,106
0.67,4,0,optimal,0.927039672588524,3.3047477880027145,118,106
0.78,4,0,optimal,0.9523088014600011,3.178974850801751,118,106
0.89,4,0,optimal,0.9707157410754025,3.3050994160585105,118,106
1.0,4,0,optimal,0.9836822546844982,3.294782723998651,118,106
0.01,4,1,optimal,0.3280350040154344,10.801690622000024,148,155
0.12,4,1,optimal,0.5028886753860173,12.084670333191752,148,155
0.23,4,1,optimal,0.609604207580649,29.24480024795048,148,155
0.34,4,1,optimal,0.691208619148076,12.31744822813198,148,155
0.45,4,1,optimal,0.7559280864558159,11.714078221004456,148,155
0.56,4,1,optimal,0.8087660052750161,10.770620431983843,148,155
0.67,4,1,optimal,0.8522962314311644,11.234888684004545,148,155
0.78,4,1,optimal,0.8885023745734563,10.355693395016715,148,155
0.89,4,1,optimal,0.9181523182676301,10.407655485905707,148,155
1.0,4,1,optimal,0.9419068451505376,9.714258098974824,148,155
0.01,4,2,optimal,0.32803387000253764,21.02227573422715,180,204
0.12,4,2,optimal,0.49944480571107847,22.069315540837124,180,204
0.23,4,2,optimal,0.5959604248704586,25.45965795381926,180,204
0.34,4,2,optimal,0.6709916921212429,26.350814351113513,180,204
0.45,4,2,optimal,0.7325200462889166,23.95441479003057,180,204
0.56,4,2,optimal,0.7863095291638034,24.686756991082802,180,204
0.67,4,2,optimal,0.8321213324925161,28.126525341067463,180,204
0.78,4,2,optimal,0.8711361050163319,25.089436309877783,180,204
0.89,4,2,optimal,0.902752501135335,22.53960885712877,180,204
1.0,4,2,optimal,0.9288931528537139,26.26238637883216,180,204
