N,n_x,n_trunc,W_obs,W_total,pg,status,H_min_bits,runtime_sec,num_constraints,num_blocks,num_words_per_block
0.01,2,0,0.5992529713330117,0.5992429514611384,0.6062610820183879,optimal,0.7219888810270866,0.9880381231196225,88,2,34
0.12,2,0,0.8166900137072146,0.8166799645089883,0.8197644526953204,optimal,0.2867186628947513,0.9017559059429914,88,2,34
0.23,2,0,0.9040419578348168,0.9040319187039014,0.906113404142072,optimal,0.14223647358401353,0.8603940529283136,88,2,34
0.34,2,0,0.9529384539337027,0.9529283800007754,0.954344335050703,optimal,0.06741819884536115,0.8956638248637319,88,2,34
0.45,2,0,0.980685429416743,0.980675426221937,0.9815636637874088,optimal,0.026846251595587404,0.8543400340713561,88,2,34
0.56,2,0,0.9949032731453002,0.9948932284158651,0.9953462468225438,optimal,0.006729617794591807,0.8979298770427704,88,2,34
0.67,2,0,0.9998628737452597,0.999852866028969,0.9999269076637833,optimal,0.00010545380496620218,0.8606032910756767,88,2,34
0.78,2,0,0.9999999230436223,0.9999901010193708,0.9999996967893319,optimal,4.3744059357250053e-07,0.8997436449863017,88,2,34
0.89,2,0,0.9999999443125204,0.9999901565897138,0.999999771246544,optimal,3.300215142397049e-07,0.8452577190473676,88,2,34
1.0,2,0,0.9999999486075433,0.9999901513193469,0.999999744660066,optimal,3.683777035165807e-07,0.9588670099619776,88,2,34
0.01,2,1,0.5992529657716212,0.5992429579023852,0.6062349220137057,optimal,0.7220511342780748,1.923671738943085,118,2,51
0.12,2,1,0.8166900210902232,0.8166800023027856,0.8197618259657771,optimal,0.2867232856565029,1.7611407570075244,118,2,51
0.23,2,1,0.9040420157120936,0.9040318996864566,0.906119459057684,optimal,0.14222683310468676,1.8114113879855722,118,2,51
0.34,2,1,0.9529385192998567,0.9529285102377308,0.9543384174959022,optimal,0.06742714451949584,1.831105548189953,118,2,51
0.45,2,1,0.9806854248026476,0.9806754131053586,0.9815639203081775,optimal,0.02684587456330082,1.7738403270486742,118,2,51
0.56,2,1,0.9949031791268648,0.9948931573383276,0.9953484245454877,optimal,0.006726461318476477,1.7662547959480435,118,2,51
0.67,2,1,0.9998628857527017,0.999852726153444,0.9999245861531658,optimal,0.00010880328553075787,1.77733013802208,118,2,51
0.78,2,1,0.9999999501661323,0.9999900169574896,0.9999995876621597,optimal,5.948778800407722e-07,1.78563162102364,118,2,51
0.89,2,1,0.9999999563164939,0.9999899972436097,0.9999995688677666,optimal,6.219924691139618e-07,1.8176873449701816,118,2,51
1.0,2,1,0.999999958853304,0.9999899888103948,0.9999995375255839,optimal,6.672097009239724e-07,1.7870883259456605,118,2,51
0.01,2,2,0.5992530056581672,0.5992429663914879,0.6063184359529211,optimal,0.7218524046380962,3.297048505861312,152,2,68
0.12,2,2,0.8166899363898523,0.8166799349190534,0.819769630430957,optimal,0.28670955067975945,3.243446903070435,152,2,68
0.23,2,2,0.9040418694895667,0.9040318639226291,0.9061207797759423,optimal,0.14222473029994726,3.1583238129969686,152,2,68
0.34,2,2,0.952938534062927,0.9529284851743706,0.954339986203518,optimal,0.06742477307054609,3.2178662731312215,152,2,68
0.45,2,2,0.9806853438606797,0.9806752581617768,0.9815697527766762,optimal,0.026837302071784183,3.1243240679614246,152,2,68
0.56,2,2,0.9949032877720673,0.9948931635284489,0.995346440346072,optimal,0.006729337293803078,3.105930157005787,152,2,68
0.67,2,2,0.9998627976516973,0.9998526414874696,0.9999248306464315,optimal,0.00010845052974935093,3.2455712768714875,152,2,68
0.78,2,2,0.9999999473096131,0.9999899471221806,0.9999994603933292,optimal,7.784880780191637e-07,3.2209378480911255,152,2,68
0.89,2,2,0.9999999479795234,0.9999899626714763,0.99999953207065,optimal,6.750795107416069e-07,3.220643848879263,152,2,68
1.0,2,2,0.9999999506849707,0.9999899411028985,0.9999995001444087,optimal,7.211393628921657e-07,3.2199889989569783,152,2,68
