N,n_x,n_trunc,mode,W_obs,statuses,H_shannon_bits,c_m,m_eff,runtime_sec,num_constraints,num_words,node_values
0.01,3,0,witness,0.43022667915014284,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.548325450699417,7.492940515158995,8,160.43818846996874,"[502, 502, 502, 502, 502, 502, 502, 502]",65,"[-3.3642672975698296, -1.2704533032356966, -0.6206353390486743, -0.3348845122298672, -0.1892096393877814, -0.10580330967684771, -0.05146455371657766, -0.00789710959430297]"
0.12,3,0,witness,0.6696047028347065,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.2336253130273063,7.492940515158995,8,153.45948086702265,"[502, 502, 502, 502, 502, 502, 502, 502]",65,"[-3.371382443716534, -1.3137249074057604, -0.6903355276879014, -0.4057323694576315, -0.2470664315275425, -0.14605726959779514, -0.07356203126230357, -0.011454221476220149]"
0.23,3,0,witness,0.7827566002718899,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.9590201240823539,7.492940515158995,8,154.646898514824,"[502, 502, 502, 502, 502, 502, 502, 502]",65,"[-3.380517983636412, -1.3575691735162723, -0.7510632909910219, -0.46416789935253616, -0.2945284649521681, -0.1794685495432666, -0.09214124937898568, -0.014463779705978383]"
0.34,3,0,witness,0.8564444480308385,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.7232436334872553,7.492940515158995,8,152.85896325786598,"[502, 502, 502, 502, 502, 502, 502, 502]",65,"[-3.3926345339226827, -1.4011661625856673, -0.8027871143002404, -0.5111069525021206, -0.3321196996450595, -0.20600992206147137, -0.10699383535338397, -0.016878661301113686]"
0.45,3,0,witness,0.9073184578307426,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.5239460400432201,7.492940515158995,8,153.23310270998627,"[502, 502, 502, 502, 502, 502, 502, 502]",65,"[-3.4085749955097464, -1.4425286148326604, -0.8453099700494313, -0.5477763995192768, -0.36108777351288907, -0.22647336078575966, -0.11849044762886049, -0.018752913277151024]"
0.56,3,0,witness,0.9428629441014649,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.35850833476619326,7.492940515158995,8,149.92295597004704,"[502, 502, 502, 502, 502, 502, 502, 502]",65,"[-3.4289216984631623, -1.4794452451952265, -0.8788089274427903, -0.5754977522729356, -0.3827377319833634, -0.2417618211365745, -0.12710091505261092, -0.020158088846139007]"
0.67,3,0,witness,0.9673723850452728,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.22447146368729948,7.492940515158995,8,150.4922118538525,"[502, 502, 502, 502, 502, 502, 502, 502]",65,"[-3.453365182464714, -1.5100731192987258, -0.9039010442385422, -0.5956051843385357, -0.3983056522500679, -0.252747882120738, -0.13329937867751593, -0.021171608082857035]"
0.78,3,0,witness,0.9836352288486064,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.12089216939088566,7.492940515158995,8,152.49586925795302,"[502, 502, 502, 502, 502, 502, 502, 502]",65,"[-3.479602716091495, -1.5332209033129158, -0.9214385616959552, -0.6093443946855631, -0.4088712385859142, -0.2602002039086867, -0.13750963905149557, -0.021860688436083478]"
0.89,3,0,witness,0.993598999810457,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.04859718543750986,7.492940515158995,8,154.63138659810647,"[502, 502, 502, 502, 502, 502, 502, 502]",65,"[-3.5029538945934946, -1.5485611474358645, -0.9324490953891309, -0.6178347672060437, -0.4153750105465704, -0.26478481337106025, -0.14010103435746782, -0.022283566821853628]"
1.0,3,0,witness,0.9986892988016227,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.008946097817509858,7.492940515158995,8,154.8250652011484,"[502, 502, 502, 502, 502, 502, 502, 502]",65,"[-3.517809449332748, -1.5565415147401844, -0.9379973294712507, -0.6220766948606714, -0.4186150402439795, -0.2670670922176461, -0.1413918769070763, -0.022495419567929047]"
